Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2983689819,2931664258,3045100030,3374481585,3521849159,3666548023,3832820982,3903830108,3519787116,3429584867,3621879746,3640775603,3860198723,3966592233,3990944634,4026064568,4157176527,
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,18973027429,21032245383,21903906005,25122565906,27269473534,31873654690,33769009351,41304884284,47787706704,48993947132,56301250158,60497916496,63321947173,64927903090,67121529135,70220349482,72672245387
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,54078410874,62440884509,65502029873,74632978885,88523668697,1.01734E+11,1.19103E+11,1.34978E+11,1.37175E+11,1.45516E+11,1.53714E+11,1.70044E+11,1.81601E+11,1.9396E+11,1.97884E+11,1.94887E+11,1.98299E+11,1.98796E+11
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,13162883698,14221891223,15181419279,16414419615,17663293361,19630459706,21610743514,24251602592,25805526262,28046641296,29655511080,30530303813,30604048365,32529074567,33594846193,34134081398,37154201393,38306694289
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.76437E+12,2.82342E+12,3.0035E+12,3.36719E+12,3.66824E+12,4.01202E+12,4.30763E+12,4.64947E+12,4.72832E+12,5.01381E+12,5.27264E+12,5.72895E+12,6.00876E+12,6.26597E+12,6.53518E+12,6.84231E+12,7.04343E+12,7.37578E+12
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.67004E+11,2.77827E+11,3.07891E+11,3.46427E+11,3.74562E+11,4.23859E+11,4.49105E+11,4.72454E+11,4.51096E+11,4.63667E+11,5.06158E+11,5.38999E+11,5.76174E+11,6.12227E+11,6.50368E+11,6.77605E+11,6.93874E+11,7.23047E+11
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4.29215E+11,3.88504E+11,4.30688E+11,4.8222E+11,5.41255E+11,6.02508E+11,6.74423E+11,7.15436E+11,6.78224E+11,7.556E+11,8.17698E+11,8.24826E+11,8.59489E+11,8.53745E+11,8.86441E+11,8.77492E+11,9.18033E+11,9.17057E+11
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,7998457026,9196357105,10682363452,12118272912,14228374758,16593643827,19382176256,21122568893,18271970266,18891551957,20192628680,22061645091,23189619052,24478961727,25532428677,25863255541,28331472880,30530737471
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1220267834,1252264022,1352789577,1468900994,1611782319,1871922419,2100192749,2140399099,1895591209,1772427693,1774011846,1869017307,1890389416,1999265070,2097939602,2237482661,2351731008,2587025104
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5.30687E+11,5.64354E+11,5.90772E+11,6.30539E+11,6.64362E+11,7.10076E+11,7.61466E+11,7.9598E+11,8.74182E+11,8.66385E+11,9.37507E+11,9.73601E+11,1.06163E+12,1.10055E+12,1.10211E+12,1.14437E+12,1.22096E+12,1.29119E+12
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.38979E+11,2.51985E+11,2.60768E+11,2.75747E+11,2.88087E+11,3.11092E+11,3.2678E+11,3.43813E+11,3.41463E+11,3.51314E+11,3.73031E+11,3.91635E+11,4.0637E+11,4.1706E+11,4.31091E+11,4.52643E+11,4.74515E+11,4.9061E+11
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33115452911,36814442589,41326042612,46365813602,61178516230,84753921779,1.09191E+11,1.23105E+11,1.35666E+11,1.43819E+11,1.44514E+11,1.5053E+11,1.62121E+11,1.69809E+11,1.73428E+11,1.69953E+11,1.72695E+11,1.79401E+11
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3800919950,4032723456,4057348937,4367979661,4544576066,4935584332,5243118639,5604967830,5863029707,6235280686,6622226209,7049349097,7526274677,7993864922,7764251881,7802059444,7990111828,8316515956
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.96255E+11,3.129E+11,3.20608E+11,3.33829E+11,3.47658E+11,3.71527E+11,3.90555E+11,4.05729E+11,4.07646E+11,4.34046E+11,4.51933E+11,4.69721E+11,4.87344E+11,5.03619E+11,5.21017E+11,5.42271E+11,5.7127E+11,5.87186E+11
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9800548296,10417953197,10976886725,11771733647,12346174782,13221847367,14389813650,15387048653,15865494871,16389062381,17227124155,18403168244,20072483846,21751324915,22444661751,23589730505,25441421706,27848437266
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,10822665275,11472417139,12597222687,13515718506,15143905206,16577820504,17985806826,19673148440,20410290546,21757622183,23684085089,25695882514,27661401714,29404232590,30876071962,33057199152,35824547365,39204511840
