Country Code,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,Afghanistan,32416,Press Freedom Index,Total,35.5,40.17,28.25,39.17,44.25,56.5,59.25,54.25,51.67,NA,NA,37.36,37.07,37.44,37.75,NA,39.46,37.28
ALB,Albania,32416,Press Freedom Index,Total,,6.5,11.5,14.17,18,25.5,16,21.75,21.5,NA,NA,30.88,29.92,28.77,29.92,NA,29.92,29.49
DZA,Algeria,32416,Press Freedom Index,Total,31,33,43.5,40.33,40,40.5,31.33,49.56,47.33,NA,NA,36.54,36.26,36.63,41.69,NA,42.83,43.13
AGO,Angola,32416,Press Freedom Index,Total,30.2,28,26.5,18,21.5,26.5,29.5,36.5,28.5,NA,NA,37.8,36.5,37.84,39.89,NA,40.42,38.35
ARG,Argentina,32416,Press Freedom Index,Total,12,15.17,NA,13.67,17.3,24.83,14.08,11.33,16.35,NA,NA,25.67,25.27,26.11,25.09,NA,25.07,26.05
ARM,Armenia,32416,Press Freedom Index,Total,,25.17,23.5,26,25.5,23.63,22.75,31.13,27.5,NA,NA,28.04,29.07,28.43,28.79,NA,30.38,29.99
AUS,Australia,32416,Press Freedom Index,Total,3.5,9.25,9.5,6.5,9,8.79,6.25,3.13,5.38,NA,NA,15.24,16.91,17.03,17.84,NA,16.02,15.46
AUT,Austria,32416,Press Freedom Index,Total,7.5,2.75,3.25,2.5,4.5,4.25,3.5,3,0.5,NA,NA,9.4,10.01,10.85,13.18,NA,13.47,14.04
AZE,Azerbaijan,32416,Press Freedom Index,Total,34.5,34.5,49.67,51,47,55.4,53.63,53.5,56.38,NA,NA,47.73,52.87,58.41,57.89,NA,56.4,59.73
BGD,Bangladesh,32416,Press Freedom Index,Total,43.8,46.5,62.5,61.25,48,53.17,42.7,37.33,42.5,NA,NA,42.01,42.58,42.95,45.94,NA,48.36,48.62
BLR,Belarus,32416,Press Freedom Index,Total,52.2,52,54.1,61.33,57,63.63,58.33,59.5,57,NA,NA,48.35,47.82,47.98,54.32,NA,52.43,52.59
BEL,Belgium,32416,Press Freedom Index,Total,3.5,1.17,4,4,4,1.5,3,2.5,4,NA,NA,12.94,12.8,11.98,14.18,NA,12.75,13.16
BEN,Benin,32416,Press Freedom Index,Total,6,5.25,5.5,5.5,5.5,17,15,16,19,NA,NA,28.33,28.83,29.24,28.97,NA,30.32,30.16
BTN,Bhutan,32416,Press Freedom Index,Total,90.8,77.33,55.83,51.5,25,37.17,15.5,15.75,17.75,NA,NA,28.42,30.73,32.65,30.73,NA,30.73,30.73
BOL,Bolivia,32416,Press Freedom Index,Total,14.5,9.67,20,9.67,4.5,21.5,28.2,24.17,28.13,NA,NA,32.8,31.04,31.29,31.78,NA,33.88,32.45
BIH,Bosnia and Herzegovina,32416,Press Freedom Index,Total,12.5,6.83,3.67,7,5,11.17,8,10.5,13.5,NA,NA,26.86,26.86,27.51,28.45,NA,27.83,27.37
BWA,Botswana,32416,Press Freedom Index,Total,,13,11.5,14,13,23.5,14,15.5,17.5,NA,NA,22.91,22.91,22.91,22.91,NA,24.93,25.29
BRA,Brazil,32416,Press Freedom Index,Total,18.8,16.75,16.5,14.5,17.17,25.25,18,15.88,16.6,NA,NA,32.75,34.03,31.93,32.62,NA,33.58,31.2
BGR,Bulgaria,32416,Press Freedom Index,Total,9.8,6.5,8,10.25,9,16.25,12.5,15.61,19,NA,NA,28.58,31.42,32.91,34.46,NA,35.01,35.22
BFA,Burkina Faso,32416,Press Freedom Index,Total,27.8,18,16.25,19,16,21.5,13,15,15,NA,NA,23.7,24.45,23.79,22.66,NA,23.85,23.33
BDI,Burundi,32416,Press Freedom Index,Total,24.5,26.25,19,23,39.83,43.4,21,29,28.88,NA,NA,38.02,40.5,42.93,54.1,NA,55.78,55.26
CPV,Cabo Verde,32416,Press Freedom Index,Total,13.8,8.25,8.75,6,11.5,14,8,11,8,NA,NA,14.33,14.32,20.69,19.82,NA,18.02,20.39
KHM,Cambodia,32416,Press Freedom Index,Total,24.3,19.5,36.5,23,27.25,25.33,35.5,35.17,43.83,NA,NA,41.81,40.97,40.99,40.7,NA,42.07,45.9
CMR,Cameroon,32416,Press Freedom Index,Total,28.8,30.5,27,20.5,28.25,36,36.9,30.5,44.3,NA,NA,34.78,38.13,39.63,40.53,NA,41.59,40.92
CAN,Canada,32416,Press Freedom Index,Total,0.8,1.83,3.33,4.5,4.5,4.88,3.33,3.7,7,NA,NA,12.69,10.99,10.99,15.26,NA,16.53,15.28
CAF,Central African Republic,32416,Press Freedom Index,Total,21.5,32.75,32.5,19.75,14.5,22.5,18.5,17.75,18.5,NA,NA,26.61,,,33.6,NA,36.12,35.25
TCD,Chad,32416,Press Freedom Index,Total,28.8,24,33.25,30,35.5,36.5,41.25,44.5,33.17,NA,NA,34.87,40.22,40.17,40.59,NA,39.66,38.45
CHL,Chile,32416,Press Freedom Index,Total,6.5,6.83,10,11.75,11.63,12.13,11.5,10.5,10.5,NA,NA,26.24,25.8,23,19.23,NA,20.53,22.69
CHN,China,32416,Press Freedom Index,Total,97,91.25,92.33,83,94,89,85.5,84.5,84.67,NA,NA,73.07,72.91,73.55,80.96,NA,77.66,78.29
COL,Colombia,32416,Press Freedom Index,Total,40.8,49.17,47.38,40.17,44.75,42.33,35.5,40.13,51.5,NA,NA,37.48,36.68,39.08,44.11,NA,41.47,41.03
COM,Comoros,32416,Press Freedom Index,Total,20.5,18.5,26.5,22,22.5,28,20,19,19,NA,NA,24.52,24.52,24.52,24.33,NA,24.33,25.3
COG,"Congo, Rep.",32416,Press Freedom Index,Total,23.2,14,17.5,17,17,24.5,20.75,34.25,33.6,NA,NA,,29.44,,35.84,NA,36.73,35.42
CRI,Costa Rica,32416,Press Freedom Index,Total,4.3,3.83,7.63,8.5,6.67,6.5,5.1,8,8.08,NA,NA,12.08,12.23,12.26,11.1,NA,11.93,14.01
CIV,Cote d'Ivoire,32416,Press Freedom Index,Total,19,42.17,60.38,52.25,25,27,26.5,29,,NA,NA,29.77,31.63,30.45,30.17,NA,30.42,30.08
HRV,Croatia,32416,Press Freedom Index,Total,8.8,16.5,11.83,12.83,13,12.5,8.5,17.17,17.5,NA,NA,26.61,26.82,26.12,27.91,NA,29.59,28.94
CYP,Cyprus,32416,Press Freedom Index,Total,,20.83,22,5.5,7.5,14,7.5,5.5,13.4,NA,NA,13.83,14.45,16.52,18.26,NA,19.79,19.85
CZE,Czech Republic,32416,Press Freedom Index,Total,11.3,2.5,3.5,1,0.75,4,4,5,7.5,NA,NA,10.17,10.07,11.62,16.66,NA,16.91,21.89
DNK,Denmark,32416,Press Freedom Index,Total,3,1,0.5,0.5,5,2,3.5,0,2.5,NA,NA,7.08,7.43,8.24,8.89,NA,10.36,13.99
DOM,Dominican Republic,32416,Press Freedom Index,Total,,17,6.75,12.25,12.75,22.75,18,26.83,26.13,NA,NA,28.34,27.17,27.31,27.9,NA,26.76,26.79
ECU,Ecuador,32416,Press Freedom Index,Total,5.5,7.67,16.5,21.75,15.25,18.5,15.5,20,27.5,NA,NA,34.69,31.16,33.65,33.21,NA,33.64,30.56
EGY,"Egypt, Arab Rep.",32416,Press Freedom Index,Total,34.5,34.25,43.5,52,46.25,58,50.25,51.38,43.33,NA,NA,48.66,51.89,50.17,54.45,NA,55.78,56.72
